City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Hat Yai,7.01,100.48,77.0,87.8,100,1010,1.34,63
Statesboro,32.45,-81.78,77.5,77.77,53,1021,4.7,63
Sistranda,63.73,8.83,51.8,39.56,76,1019,19.46,63
Yabrūd,33.97,36.66,53.89,49.05,82,1017,8.05,63
Nārsingi,18.03,78.43,73.0,75.09,60,1014,1.01,63
Madang,-5.22,145.8,80.01,87.17,79,1013,3.53,63
Sapernoye,60.72,29.95,46.56,37.94,79,1002,11.5,63
Port Hardy,50.7,-127.42,45.7,33.84,61,1018,14.99,63
Sisimiut,66.94,-53.67,13.96,1.45,86,994,12.01,63
Nantucket,41.28,-70.1,59.0,53.38,93,1023,13.87,63
Noumea,-22.28,166.46,81.52,82.4,58,1014,8.05,63
Abhā,18.22,42.51,58.87,54.79,76,1024,8.05,63
Youkounkoun,12.53,-13.13,83.07,85.62,47,1013,1.74,63
Teknāf,20.86,92.31,68.95,69.69,81,1013,6.49,63
Guerrero Negro,27.98,-114.06,79.86,72.97,41,1006,14.45,63
Burnie,-41.07,145.92,50.0,39.2,59,1017,14.0,63
Pyaozerskiy,65.83,31.17,40.23,25.93,71,1002,18.92,63
Yerbogachën,61.28,108.01,-9.96,-19.14,89,1027,4.38,63
Khingansk,49.12,131.18,21.24,15.58,98,1007,1.3,63
Deputatsky,69.3,139.9,-9.35,-16.8,93,1019,1.39,63
Bereda,43.27,-7.54,53.67,53.69,100,1009,1.99,63
Ferrol,43.48,-8.24,55.4,55.83,93,1008,1.12,63
Gunjur,13.2,-16.73,80.6,83.73,88,1013,14.63,63
Waliso,8.53,37.98,57.47,52.72,60,1017,5.86,63
Phan Thiet,10.93,108.1,75.58,80.94,87,1012,5.32,63
Sakaiminato,35.55,133.23,60.06,60.73,93,1017,3.36,63
Kahului,20.89,-156.47,79.32,75.87,54,1016,12.75,63
Danville,36.59,-79.39,73.4,72.93,43,1025,0.76,63
Petropavlovka,50.61,105.32,19.98,9.77,83,1031,8.59,63
Luziânia,-16.25,-47.95,76.33,77.79,65,1015,5.82,63
Ürümqi,43.8,87.6,32.0,23.59,71,1028,6.71,63
Aykhal,66.0,111.5,1.4,-7.46,91,1014,4.47,63
Mahon,39.89,4.27,66.2,60.76,88,1022,17.22,63
Roald,62.58,6.13,53.49,42.06,66,1020,17.22,63
Scottsbluff,41.87,-103.67,72.77,65.1,25,1009,8.05,63
Calbuco,-41.77,-73.13,57.2,46.8,62,1021,16.11,63
Saint-Augustin,51.23,-58.65,38.34,31.91,90,1013,6.08,63
Hay River,60.82,-115.8,12.2,2.32,78,1016,6.93,63
Samarai,-10.62,150.67,81.86,89.02,80,1012,5.75,63
Yumbing,9.24,124.66,81.3,86.29,77,1010,7.9,63
Atambua,-9.11,124.89,75.87,79.07,70,1012,3.98,63
Vung Tau,10.35,107.08,79.9,86.27,79,1011,4.83,63
Seymchan,62.88,152.43,6.84,-3.86,93,1006,8.23,63
Hobyo,5.35,48.53,80.06,84.31,80,1012,9.13,63
Cooma,-36.23,149.13,46.4,33.01,75,1021,19.46,63
Nouakchott,18.09,-15.98,77.0,78.96,73,1014,8.05,63
Nichinan,31.6,131.37,66.2,67.21,93,1017,6.93,63
Touros,-5.2,-35.46,80.6,83.44,78,1012,11.41,63
Kumul,42.8,93.45,36.18,29.35,69,1029,4.56,63
Căbeşti,46.77,22.37,42.89,39.61,93,1033,2.24,63
La Macarena,2.18,-73.78,79.77,88.34,86,1005,3.38,63
Valledupar,10.46,-73.25,80.2,89.65,83,1007,1.16,63
Paamiut,61.99,-49.67,32.18,18.43,98,988,17.98,63
Rincon,32.3,-81.24,71.92,69.22,69,1021,11.41,63
Naze,28.37,129.48,77.0,82.27,94,1017,9.17,63
Chalinze,-6.64,38.35,71.87,78.17,88,1014,0.74,63
Tucuruí,-3.77,-49.67,74.46,80.76,93,1010,4.5,63
Teya,60.38,92.63,18.59,9.75,95,1020,6.42,63
Taoudenni,22.68,-3.98,83.73,75.69,16,1016,8.14,63
Akonolinga,3.77,12.25,68.49,73.72,96,1013,1.92,63
São Filipe,14.9,-24.5,78.22,82.04,80,1015,8.19,63
Lake City,30.19,-82.64,74.5,78.35,83,1018,5.82,63
Korem,12.51,39.52,51.82,49.6,67,1015,0.4,63
Pitimbu,-7.47,-34.81,80.6,84.07,78,1013,10.29,63
Eureka,40.8,-124.16,53.46,52.23,79,1006,1.01,63
Tual,-5.67,132.75,82.8,85.3,73,1011,12.15,63
Knurów,50.22,18.65,43.75,40.89,95,1032,1.99,63
Buchanan,5.88,-10.05,78.8,85.91,94,1014,7.81,63
Sur,22.57,59.53,75.87,77.52,70,1016,6.73,63
Lithgow,-33.48,150.15,60.24,58.86,71,1021,3.0,63
Schönebeck,52.02,11.75,48.49,44.08,86,1032,5.55,63
Niquelândia,-14.47,-48.46,79.75,83.35,62,1010,3.42,63
Khanbari,27.37,87.2,57.7,54.95,62,1019,2.73,63
Tazovsky,67.47,78.7,15.49,2.71,97,1002,13.04,63
Trincomalee,8.57,81.23,81.75,86.29,76,1011,8.75,63
Knyaze-Volkonskoye,48.46,135.46,26.6,19.56,92,1007,4.47,63
Médéa,36.26,2.75,80.6,73.51,22,1019,8.05,63
Key West,24.56,-81.78,80.17,83.41,78,1012,10.29,63
Gubkinskiy,64.43,76.5,30.18,19.94,98,1004,11.25,63
Jining,35.41,116.58,49.21,41.9,45,1022,5.84,63
Jalu,29.03,21.55,65.82,61.68,63,1020,8.93,63
Olafsvik,64.89,-23.71,37.71,17.02,77,1005,30.15,63
Nizwá,22.93,57.53,65.03,65.17,70,1017,2.51,63
Pimentel,-6.84,-79.93,69.8,61.11,60,1010,18.34,63
Espita,21.02,-88.32,78.37,85.66,92,1007,6.33,63
Neftçala,39.37,49.25,62.02,53.01,83,1014,19.8,63
Grand Gaube,-20.01,57.66,70.0,72.81,75,1020,1.99,63
Constitución,-35.33,-72.42,61.39,52.23,60,1014,15.21,63
Saint-Joseph,-21.37,55.62,69.8,70.72,73,1018,4.7,63
San Quintín,30.48,-115.95,71.13,69.01,71,1006,10.42,63
Araxá,-19.59,-46.94,68.61,65.5,48,1011,4.81,63
Ngunguru,-35.62,174.5,68.0,72.0,93,1011,3.0,63
Luanda,-8.84,13.23,78.8,83.59,83,1011,8.05,63
Weyburn,49.67,-103.85,41.0,30.74,65,1011,11.41,63
Revelstoke,50.98,-118.2,46.4,34.83,54,1011,13.87,63
Fontem,5.47,9.88,67.41,71.49,91,1013,1.88,63
Sabha,27.04,14.43,61.74,55.09,52,1023,9.28,63
Chaumont,48.12,5.13,46.4,40.84,87,1025,6.93,63
Beipiao,41.79,120.78,38.64,31.41,62,1016,5.26,63
Cayenne,4.93,-52.33,75.2,84.42,100,1009,2.24,63
Chara,56.91,118.26,8.44,1.04,87,1016,2.39,63
Takaungu,-3.68,39.86,79.63,87.51,83,1014,3.36,63
Lata,40.16,-8.33,56.32,55.02,90,1011,4.18,63
Kalamare,-22.93,26.57,77.99,76.15,45,1009,5.95,63
Reconquista,-29.15,-59.65,74.61,71.28,51,1011,8.81,63
Sawākin,19.11,37.33,82.38,87.76,68,1011,4.65,63
Kirakira,-10.45,161.92,82.96,89.2,75,1012,6.46,63
Barcelona,41.39,2.16,64.89,57.67,88,1023,19.46,63
Nueve de Julio,-35.44,-60.88,64.99,68.72,92,1018,1.01,63
Balkanabat,39.51,54.37,60.4,53.15,33,1012,6.31,63
Gimli,50.63,-96.99,30.2,16.63,80,1015,16.11,63
Vanimo,-2.67,141.3,79.14,85.08,80,1010,5.26,63
Espinosa,-14.93,-42.82,71.67,74.91,84,1013,4.88,63
Salalah,17.02,54.09,75.2,77.41,64,1015,3.36,63
Pacific Grove,36.62,-121.92,58.08,47.08,54,1010,16.11,63
São Sepé,-30.16,-53.57,78.8,70.03,44,1013,18.34,63
Dubrovnik,42.65,18.09,60.8,49.69,48,1027,16.11,63
Kloulklubed,7.04,134.26,77.0,81.41,94,1009,10.69,63
Leh,34.17,77.58,26.02,18.43,69,1033,4.18,63
Elko,41.0,-115.5,70.11,56.98,17,1002,15.01,63
Gorin,51.2,136.67,21.74,15.71,90,1008,1.7,63
Kovdor,67.57,30.48,34.34,22.8,87,999,13.85,63
Pacifica,37.61,-122.49,57.09,49.32,62,1009,11.41,63
Puerto Escondido,15.85,-97.07,82.4,85.59,65,1008,7.38,63
Buala,-8.14,159.59,83.89,90.61,67,1012,3.22,63
Bosaso,11.28,49.18,73.31,72.01,53,1014,5.12,63
Esik,43.36,77.45,30.2,22.44,58,1022,4.47,63
Khorosheve,49.85,36.22,44.29,35.55,81,1018,11.18,63
Quelimane,-17.88,36.89,82.2,84.27,74,1010,12.75,63
Itarema,-2.92,-39.92,80.15,80.69,78,1010,15.05,63
De Aar,-30.65,24.01,67.69,57.33,32,1011,13.42,63
Pontian Kecil,1.48,103.39,77.92,86.9,94,1009,3.56,63
Rāmshīr,30.89,49.41,71.6,68.63,68,1014,11.41,63
Nome,64.5,-165.41,39.34,21.16,80,1001,26.4,63
Bud,39.45,-86.18,69.78,64.56,40,1024,6.93,63
Aswān,24.09,32.91,65.75,59.29,47,1015,9.37,63
Waddān,29.16,16.14,58.64,56.01,85,1024,6.93,63
Sechura,-5.56,-80.82,70.47,62.08,61,1010,18.43,63
